19:03:44.765 [main] INFO  c.s.journalapp.JournalApplication - Starting JournalApplication using Java 17.0.16 with PID 17480 (C:\Users\saura\Desktop\CODE\projects\JournalApp\target\classes started by saurabh in C:\Users\saura\Desktop\CODE\projects\JournalApp)
19:03:44.775 [main] INFO  c.s.journalapp.JournalApplication - The following 1 profile is active: "dev"
19:03:46.446 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
19:03:46.573 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 117 ms. Found 2 MongoDB repository interfaces.
19:03:47.602 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
19:03:47.623 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
19:03:47.625 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
19:03:47.625 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.44]
19:03:47.720 [main] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring embedded WebApplicationContext
19:03:47.721 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2797 ms
19:03:48.284 [cluster-ClusterId{value='68fe233c9e087e0085766b49', description='Cluster0'}-srv-cluster0.amvzdxx.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-pz97bnf-shard-00-02.amvzdxx.mongodb.net:27017 to client view of cluster
19:03:48.350 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Microsoft/17.0.16+8-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='skpatil', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@319642db, com.mongodb.Jep395RecordCodecProvider@59498d94, com.mongodb.KotlinCodecProvider@35bfa1bb]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.amvzdxx.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-owliu6-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
19:03:48.365 [cluster-ClusterId{value='68fe233c9e087e0085766b49', description='Cluster0'}-srv-cluster0.amvzdxx.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-pz97bnf-shard-00-01.amvzdxx.mongodb.net:27017 to client view of cluster
19:03:48.371 [cluster-ClusterId{value='68fe233c9e087e0085766b49', description='Cluster0'}-srv-cluster0.amvzdxx.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-pz97bnf-shard-00-00.amvzdxx.mongodb.net:27017 to client view of cluster
19:03:48.992 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29984 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-pz97bnf-shard-00-02.amvzdxx.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-pz97bnf-shard-00-00.amvzdxx.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-pz97bnf-shard-00-01.amvzdxx.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
